25時ミク,25-ji miku
ねっ子,nekko (momosuzu nene)
にゃくあーと,neko (minato aqua)
猫又おかゆ,nekomata okayu
猫又おかゆ（制服）,nekomata okayu (casual)
猫又おかゆ（彼シャツ衣装）,nekomata okayu (oversized shirt)
猫宮ひなた,nekomiya hinata
猫宮又奈,nekomiya mana
Nekomusume（Gegege・の・Kitarou）,nekomusume (gegege no kitarou)
猫汰つな,nekota tsuna
猫屋敷まゆ,nekoyashiki mayu
猫屋敷ユキ,nekoyashiki yuki
ネリエル・トゥ・オーデルシュヴァンク（BLEACH）,nelliel tu odelschwanck (bleach)
ネルソン,nelson (azur lane)
ネルソン,nelson (kancolle)
ネモ（Fate/Grand Order）,nemo (fate)
ネモ（トレーナー）,nemona (pokemon)
根元陽菜,nemoto hina
ネーナ・トリニティ,nena trinity
子日（艦隊これくしょん）,nenohi (kancolle)
ネオユニヴァース（ウマ娘）,neo universe (umamusume)
ネオン（NIKKE）,neon (nikke)
ネプギア,nepgear
涅普顿（アズールレーン）,neptune (azur lane)
ネプテューヌ,neptune (neptunia)
Nergigante（モンスターハンター）,nergigante (monster hunter)
Nerine（Shuffle）,nerine (shuffle)
Nerissa・Ravencroft,nerissa ravencroft
ネロ,nero (devil may cry)
ネロ・クラウディウス〔ブライド〕（Fate）,nero claudius (bride) (fate)
ネロ・クラウディウス（Fate）,nero claudius (fate)
ネロ・クラウディウス（オリンピア・ブルマ）（Fate）,nero claudius (olympian bloomers) (fate)
ネロ・クラウディウス（水着キャスター）（Fate）,nero claudius (swimsuit caster) (fate)
ネロ・クラウディウス（水着キャスター）（第三再臨）（Fate）,nero claudius (swimsuit caster) (third ascension) (fate)
美甘寧瑠（ブルーアーカイブ）,neru (blue archive)
ネル（バニーガール）,neru (bunny) (blue archive)
ネス,ness (mother 2)
ルリナ,nessa (pokemon)
Netzach（Project Moon）,netzach (project moon)
Neutral・Chao,neutral chao
Neuvillette（原神）,neuvillette (genshin impact)
新沢西（アズールレーン）,new jersey (azur lane)
リッピング・ステッピング!,new jersey (exhilarating steps!) (azur lane)
Nia（刃）（ゼノブレイド）,nia (blade) (xenoblade)
ニア,nia (xenoblade)
ニア・テッペリン,nia teppelin
年,nian (arknights)
Nian（Unfettered・Freedom）（アークナイツ）,nian (unfettered freedom) (arknights)
丹生谷森夏,nibutani shinka
ナイスネイチャ（RUN&WIN）（ウマ娘）,nice nature (run&win) (umamusume)
ナイスネイチャ（ウマ娘）,nice nature (umamusume)
Nick・Wilde（Zootopia）,nick wilde (zootopia)
ニコ・ロビン,nico robin
ニコ・デマラ,nicole demara
Nidalee,nidalee
ニドキング（ポケモン）,nidoking (pokemon)
ニーア（グラブル）,nier (granblue fantasy)
ナイチンゲール,nightingale (arknights)
ウツロイド,nihilego
新島真,niijima makoto
虹ヶ丘ましろ,nijigaoka mashiro
虹野ゆめ,nijino yume
Nijou・Noriko,nijou noriko
二階堂サキ,nikaidou saki
妮可（ブルーアーカイブ）,niko (blue archive)
東風はこぶ花の吐息,nilou (breeze of sabaa) (genshin impact)
ニィロウ（原神）,nilou (genshin impact)
狐坂Nina（にじさんじ）,nina kosaka
Nina・Williams（鉄拳）,nina williams (tekken)
寧海（アズールレーン）,ning hai (azur lane)
凝光（原神）,ningguang (genshin impact)
ニニアン,ninian (fire emblem)
忍者,ninja (final fantasy)
ニノ,nino (fire emblem)
一伊那尓栖,ninomae ina'nis
一伊那尓栖（通常）,ninomae ina'nis (1st costume)
一伊那尓栖（私服衣装）,ninomae ina'nis (casual)
Ninomae・Ina'nis（Loungewear）,ninomae ina'nis (loungewear)
二宮飛鳥,ninomiya asuka
西绢代（ガールズ＆パンツァー）,nishi kinuyo
爾子田里乃（東方Project）,nishida satono
錦木千束,nishikigi chisato
西木野真姫,nishikino maki
二式大艇ちゃん,nishikitaitei-chan
西宮硝子,nishimiya shouko
ニシノフラワー（ウマ娘）,nishino flower (umamusume)
Nishizono・Mio（Little・Busters）,nishizono mio (little busters)
西住真穂（ガールズ＆パンツァー）,nishizumi maho
西住美穂（ガールズ＆パンツァー）,nishizumi miho
西住志穂（ガールズ＆パンツァー）,nishizumi shiho
日进（艦隊これくしょん）,nisshin (kancolle)
ニトクリス（Fate）,nitocris (fate)
新田美波（アイドルマスター シンデレラガールズ）,nitta minami
庭渡久诧歌（東方Project）,niwatari kutaka
生塩ノア,noa (blue archive)
Noa（Pajamas）（ブルーアーカイブ）,noa (pajamas) (blue archive)
ノベタ,nobeta
ノエル=ヴァーミリオン,noel vermillion
ノエル（原神）,noelle (genshin impact)
ノエル・シルヴァ,noelle silva
野井原緋鞠,noihara himari
ノワール,noire (neptunia)
农娜（ガールズ＆パンツァー）,nonna (girls und panzer)
ノノ,nono (top wo nerae 2!)
野乃はな,nono hana
野野原茜（アイドルマスター ミリオンライブ！）,nonohara akane
野々原ゆずこ,nonohara yuzuko
十六夜野宮（ブルーアーカイブ）,nonomi (blue archive)
十六夜野宮（水着）（ブルーアーカイブ）,nonomi (swimsuit) (blue archive)
Nora・Valkyrie,nora valkyrie
則巻アラレ,norimaki arale
ノースカロライナ,north carolina (azur lane)
北方栖姫（艦隊これくしょん）,northern ocean princess
アフリカオオコノハズク,northern white-faced owl (kemono friends)
能代（アズールレーン）,noshiro (azur lane)
能代（艦隊これくしょん）,noshiro (kancolle)
能美クドリャフカ,noumi kudryavka
野分（艦隊これくしょん）,nowaki (kancolle)
ノノ（ファイアーエムブレム）,nowi (fire emblem)
野崎梅太郎,nozaki umetarou
橘 望（ブルーアーカイブ）,nozomi (blue archive)
ノゾミ（プリコネ）,nozomi (princess connect!)
NTW-20（ドールズフロントライン）,ntw-20 (girls' frontline)
ν-13,nu-13
ニュイ・ソシエール,nui sociere
ナナリー,nunnally vi britannia
ナーサリー・ライム（Fate）,nursery rhyme (fate)
ニャル子,nyarlathotep (nyaruko-san)
Nyatasha・Nyanners,nyatasha nyanners
ニンフ,nymph (sora no otoshimono)
女天狗,nyotengu
涅托,nyto (girls' frontline)
オベロン（Fate）,oberon (fate)
オベロン（第三再臨）（Fate）,oberon (third ascension) (fate)
朧（艦隊これくしょん）,oboro (kancolle)
朧,oboro (taimanin asagi)
タチフサグマ（ポケモン）,obstagoon (pokemon)
タコガール,octoling girl
織田信長（Fate）,oda nobunaga (fate)
織田信長（魔王アヴェンジャー）（Fate）,oda nobunaga (maou avenger) (fate)
織田信長（水着バーサーカー）（Fate）,oda nobunaga (swimsuit berserker) (fate)
大神さくら,ogami sakura
緒方智絵里（アイドルマスター シンデレラガールズ）,ogata chieri
尾形百之助,ogata hyakunosuke
荻野千尋,ogino chihiro
オグリキャップ（ウマ娘）,oguri cap (umamusume)
小原鞠莉（ラブライブ！サンシャイン!!）,ohara mari
大石泉（アイドルマスター シンデレラガールズ）,ohishi izumi
オウル,ohr (blue archive)
大槻唯,ohtsuki yui
及川雫（アイドルマスター シンデレラガールズ）,oikawa shizuku
桜花あさひ,oka asahi
岡部倫太郎,okabe rintarou
岡田以蔵（Fate）,okada izou (fate)
岡崎朋也,okazaki tomoya
岡崎夢美,okazaki yumemi
沖田・J・総司（Fate）,okita j. souji (fate)
沖田・J・総司（第一再臨）（Fate）,okita j. souji (first ascension) (fate)
沖田総司（Fate）,okita souji (fate)
沖田総司〔オルタ〕（Fate）,okita souji alter (fate)
沖田総司〔オルタ〕（第一再臨）（Fate）,okita souji alter (first ascension) (fate)
沖田総司〔オルタ〕（第二再臨）（Fate）,okita souji alter (second ascension) (fate)
奥村春,okumura haru
奥野田美宵（東方Project）,okunoda miyoi
オリーヴ,oleana (pokemon)
オルガマリー・アニムスフィア（Fate）,olga marie animusphere
オリマー,olimar
オリヴィエ,olivia (fire emblem)
Olivier・Mira・Armstrong（鋼の錬金術師）,olivier mira armstrong (fullmetal alchemist)
王马小吉（ダンガンロンパ）,oma kokichi
尾丸ポルカ,omaru polka
OMORI（キャラクター）,omori (omori)
One（Cevio）,one (cevio)
おにぎりゃー,onigirya (nekomata okayu)
鬼塚夏美,onitsuka natsumi
小野塚小町（東方Project）,onozuka komachi
大井（艦隊これくしょん）,ooi (kancolle)
大神澪（ホロライブ）,ookami mio
大神澪（私服）（ホロライブ）,ookami mio (casual)
大神澪（hololive 夏 2019）（ホロライブ）,ookami mio (hololive summer 2019)
大熊里美,ookuma satomi
大室桜子（ゆるゆり）,oomuro sakurako
大野綾（ガールズ＆パンツァー）,oono aya (girls und panzer)
大沢綾,oosawa aya
大潮（艦隊これくしょん）,ooshio (kancolle)
大好真々子,oosuki mamako
凤笑夢（プロジェクトセカイ）,ootori emu
大淀（艦隊これくしょん）,ooyodo (kancolle)
大空昴（ホロライブ）,oozora subaru
大空昴（私服）（ホロライブ）,oozora subaru (casual)
オフェリア・ファムルソローネ（Fate/Grand Order）,ophelia phamrsolone
Optimus・Prime（Transformers）,optimus prime (transformers)
橙黄白毫（ガールズ＆パンツァー）,orange pekoe (girls und panzer)
折木奉太郎,oreki houtarou
折部やすな,oribe yasuna
オリエ・バラーディア,orie ballardiae harada
大蛇丸（NARUTO）,orochimaru (naruto)
オルトリンデ（Fate）,ortlinde (fate)
桜坂しずく,osaka shizuku
刑部姫（Fate）,osakabehime (fate)
大崎甘奈（アイドルマスター シャイニーカラーズ）,osaki amana
大崎甜花（アイドルマスター シャイニーカラーズ）,osaki tenka
大沢瑠璃乃,osawa rurino
ミジュマル,oshawott
押田流歌（ガールズ＆パンツァー）,oshida (girls und panzer)
忍野扇（〈物語〉シリーズ）,oshino ougi
忍野忍（〈物語〉シリーズ）,oshino shinobu
御手杵（刀剣乱舞）,otegine
音葵（ブルーアーカイブ）,otogi (blue archive)
乙宗梢,otomune kozue
音無春奈,otonashi haruna
音无小鳥（アイドルマスター）,otonashi kotori
音乃瀬奏（ホロライブ）,otonose kanade
OTS-14（ドールズフロントライン）,ots-14 (girls' frontline)
黄前久美子,oumae kumiko
オーロ・クロニー,ouro kronii
Ouro・Kronii（私服）,ouro kronii (casual)
尾张（アズールレーン）,owari (azur lane)
緒山まひろ,oyama mahiro
緒山みはり,oyama mihari
亲潮（艦隊これくしょん）,oyashio (kancolle)
Oz（原神）,oz (genshin impact)
オーゼン,ozen
大空あかり,ozora akari
Pヘッド,p-head producer
P90（ドールズフロントライン）,p90 (girls' frontline)
PA-15（ドールズフロントライン）,pa-15 (girls' frontline)
パイモン（原神）,paimon (genshin impact)
ナイト,paladin (final fantasy)
パルキア（ポケモン）,palkia (pokemon)
パオラ,palla (fire emblem)
パラス（アークナイツ）,pallas (arknights)
パルテナ,palutena
水星紀念（アズールレーン）,pamiat merkuria (azur lane)
パン,pan (dragon ball)
サイカ,pandoria (xenoblade)
パネトネ,panette (fire emblem)
ゴロンダ（ポケモン）,pangoro (pokemon)
Panther（Persona・5）,panther (persona 5)
アナーキー・パンティ,panty (psg)
パピ（モンスター娘のいる日常）,papi (monster musume)
パルドフェリス,pardofelis
ドラゴンメイド・パルラ,parlor dragonmaid
パールヴァティー（Fate）,parvati (fate)
パスカル（TOG）,pascal (tales)
パッションリップ（Fate）,passionlip (fate)
パチュリー・ノーレッジ,patchouli knowledge
ポール・バニヤン（Fate）,paul bunyan (fate)
パヴォリア・レイネ,pavolia reine
パーヤ,paya (zelda)
ピーチ・マキ,peach maki
ヒメ,pearl (splatoon)
ペコリーヌ,pecorine (princess connect!)
Pecorine（夏）（プリンセスコネクト！）,pecorine (summer) (princess connect!)
辺古山辺古（ダンガンロンパ）,pekoyama peko
ペナンス（アークナイツ）,penance (arknights)
Penelo（ファイナルファンタジーXII）,penelo (final fantasy xii)
ボタン（トレーナー）,penny (pokemon)
Penny・Polendina,penny polendina
ペンテシレイア（Fate）,penthesilea (fate)
佩帕羅妮（ガールズ＆パンツァー）,pepperoni (girls und panzer)
パフューマー,perfumer (arknights)
ペロロ様,peroro (blue archive)
ペリーヌ・クロステルマン,perrine h. clostermann
英仙座（アズールレーン）,perseus (azur lane)
ナーセリー勤務タイム,perseus (unfamiliar duties) (azur lane)
珀斯（艦隊これくしょん）,perth (kancolle)
ピーター・パーカー,peter parker
Petra・Gurin,petra gurin
Phainon（崩壊：スターレイル）,phainon (honkai  star rail)
傀影,phantom (arknights)
ファラ,pharah (overwatch)
熾鳶（X-MEN）,phoenix (x-men)
成歩堂龍一,phoenix wright
フォスフォフィライト,phosphophyllite
Phosphophyllite（Ll）,phosphophyllite (ll)
ピチュー,pichu
ぴえん猫,pien cat (needy girl overdose)
ネズ（トレーナー）,piers (pokemon)
Piers・Nivans（バイオハザード）,piers nivans (resident evil)
ピカチュウ,pikachu
ピックル（エリーラ・ペンドラ）,pikl (elira pendora)
ピナ,pina (sao)
パイン（ボンバーガール）,pine (bombergirl)
松果,pinecone (arknights)
平海（アズールレーン）,ping hai (azur lane)
ピンキーパイ,pinkie pie
ピピ美,pipimi
ポッチャマ,piplup
ピット,pit (kid icarus)
人形,plain doll
Plana（ブルーアーカイブ）,plana (blue archive)
等离子ちゃん（艦隊これくしょん）,plasma-chan (kancolle)
プラチナ（アークナイツ）,platinum (arknights)
プラチナ=ザ=トリニティ,platinum the trinity
プレネール,pleinair
プリュム（アークナイツ）,plume (arknights)
プネウマ（ゼノブレイド2）,pneuma (xenoblade)
ポチタ,pochita (chainsaw man)
ポイズン,poison (final fight)
ポイズン・アイビー,poison ivy
波拉（アズールレーン）,pola (azur lane)
波拉（艦隊これくしょん）,pola (kancolle)
水辺のハプニング?,pola (seaside coincidence) (azur lane)
ニョロモ,poliwag
ポルクス（Fate）,pollux (fate)
Pom・Pom（崩壊：スターレイル）,pom-pom (honkai  star rail)
Pomu・Rainpuff,pomu rainpuff
甲賀流忍者!ぽんぽこ,ponpoko (vtuber)
ハナ（ゼノブレイド2）,poppi (xenoblade)
アシマリ,popplio
ポプ子,popuko
ポートガス・D・エース,portgas d. ace
波特蘭（アズールレーン）,portland (azur lane)
パワー（チェンソーマン）,power (chainsaw man)
パゼオンカ（アークナイツ）,pozyomka (arknights)
Ppk（ドールズフロントライン）,ppk (girls' frontline)
初雪,pramanix (arknights)
プリシス・F・ノイマン,precis neumann
女神官（ゴブリンスレイヤー）,priestess (goblin slayer!)
Primal・Groudon（ポケモン）,primal groudon (pokemon)
